STATION,NAME,UNITCODE,Year,Month,DATE,EVAP,EVAPMIN,EVAPMAX,PRECIP,SNOW,SNOWDEPTH,TEMPMAX,TEMPMIN,FOG,THUNDER,ICE,HAIL,RIME
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-11,,,,0,0,0,72,46,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-12,,,,0,0,0,74,47,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-13,,,,0,0,0,79,49,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-14,,,,0,0,0,82,51,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-15,,,,0,0,0,78,34,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-16,,,,0,0,0,53,30,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-17,,,,0.04,0,0,60,31,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-18,,,,0,0,0,66,34,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-19,,,,0,0,0,80,49,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-20,,,,0,0,0,80,49,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-21,,,,0,0,0,81,53,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-22,,,,0,0,0,80,54,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-23,,,,0,0,0,78,51,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-24,,,,0,0,0,76,44,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-25,,,,0.47,0,0,69,47,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-26,,,,0.28,0,0,57,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-27,,,,0.01,0,0,65,36,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-28,,,,0,0,0,74,36,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-29,,,,0,0,0,80,54,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,4,2015-04-30,,,,0,0,0,83,56,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-01,,,,0,0,0,86,59,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-02,,,,0,0,0,87,59,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-03,,,,0,0,0,85,60,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-04,,,,0.06,0,0,82,53,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-05,,,,0.02,0,0,76,56,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-06,,,,0.06,0,0,75,49,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-07,,,,0,0,0,76,46,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-08,,,,0.02,0,0,71,53,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-09,,,,0.24,0,0,59,41,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-10,,,,0,0,0,54,37,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-11,,,,0,0,0,74,39,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-12,,,,0,0,0,81,51,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-13,,,,0,0,0,81,49,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-14,,,,0,0,0,79,56,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-15,,,,0.31,0,0,70,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-16,,,,0.05,0,0,59,38,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-17,,,,0,0,0,63,42,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-18,,,,0,0,0,76,50,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-19,,,,0.1,0,0,76,47,,,,,
