Region,Type,UnitCode,ParkName,State,Year,Month,Visitors,Camping,OtherLodging,OtherCamping
Northeast,National Park,ACAD,Acadia National Park,ME,2014,12,"13,510",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2015,1,"12,578",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2015,2,"10,626",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2015,3,"18,062",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2015,4,"63,214",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2015,5,"187,205","12,029",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2015,6,"359,661","25,185",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2015,7,"606,597","44,944",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2015,8,"666,767","44,276",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2015,9,"479,320","31,261",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2015,10,"344,362","10,632",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2015,11,"48,912",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2015,12,"13,880",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2016,1,"17,204",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2016,2,"16,530",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2016,3,"28,121",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2016,4,"94,199","1,053",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2016,5,"217,147","12,413",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2016,6,"445,410","33,729",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2016,7,"696,854","52,052",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2016,8,"735,945","52,587",0,360
Northeast,National Park,ACAD,Acadia National Park,ME,2016,9,"570,434","33,441",0,617
