Species_ID,Category,Family,Scientific_Name,Common_Names,Record_Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation_Status
ACAD-1777,Vascular Plant,Brassicaceae,Hesperis matronalis,Dame's Rocket,Approved,Present,Not Native,Occasional,,
ACAD-1780,Vascular Plant,Brassicaceae,Lepidium densiflorum,Peppergrass,Approved,Not Confirmed,Not Native,,,
ACAD-1786,Vascular Plant,Brassicaceae,Sinapis arvensis,Charlock,Approved,Not Confirmed,Not Native,,,
ACAD-1789,Vascular Plant,Brassicaceae,Subularia aquatica,Awlwort,Approved,Present,Native,Rare,,
ACAD-1798,Vascular Plant,Amaranthaceae,Atriplex littoralis,Grassleaf Orache,Approved,Not Confirmed,Native,,,
ACAD-1806,Vascular Plant,Amaranthaceae,Salicornia maritima,"Slender Glasswort, Samphire",Approved,Not Confirmed,Native,,,
ACAD-1818,Vascular Plant,Caryophyllaceae,Dianthus plumarius,"Grass Pink, Garden Pink",Approved,Not Confirmed,Not Native,,,
ACAD-1821,Vascular Plant,Caryophyllaceae,Minuartia groenlandica,Mountain Sandwort,Approved,Present,Native,Occasional,,
ACAD-1822,Vascular Plant,Caryophyllaceae,Moehringia lateriflora,Blunt-Leaved Or Grove Sandwort,Approved,Present,Native,Occasional,,
ACAD-1825,Vascular Plant,Caryophyllaceae,Sagina procumbens,Birdseye,Approved,Present,Native,Occasional,,
ACAD-1830,Vascular Plant,Caryophyllaceae,Silene noctiflora,Night-Flowering Catchfly,Approved,Not Confirmed,Not Native,,,
ACAD-1835,Vascular Plant,Caryophyllaceae,Spergularia rubra,Sand Spurry,Approved,Present,Not Native,Uncommon,,
ACAD-1840,Vascular Plant,Caryophyllaceae,Stellaria graminea,Lesser Stitchwort,Approved,Present,Not Native,Common,,
ACAD-1862,Vascular Plant,Polygonaceae,Persicaria punctata,Knotweed,Approved,Not Confirmed,Native,,,
ACAD-1874,Vascular Plant,Polygonaceae,Rumex crispus,Curled Dock,Approved,Present,Not Native,Occasional,,
ACAD-1879,Vascular Plant,Polygonaceae,Rumex patientia,Patience Dock,Approved,Not Confirmed,Not Native,,,
ACAD-1881,Vascular Plant,Polygonaceae,Rumex verticillatus,Swamp Dock,Approved,Not Confirmed,Native,,,
ACAD-1883,Vascular Plant,Celastraceae,Celastrus orbiculata,Asiatic Bittersweet,Approved,Present,Not Native,Occasional,,
ACAD-1890,Vascular Plant,Cucurbitaceae,Echinocystis lobata,Wild Cucumber,Approved,Not Confirmed,Not Native,,,
ACAD-1928,Vascular Plant,Ericaceae,Gaultheria procumbens,"Wintergreen, Checkerberry",Approved,Present,Native,Common,,
ACAD-1931,Vascular Plant,Ericaceae,Kalmia angustifolia,"Sheep Laurel, Lambkill",Approved,Present,Native,Common,,
ACAD-1932,Vascular Plant,Ericaceae,Kalmia latifolia,Mountain Laurel,Approved,Not Present (Historical Report),Native,,,
ACAD-1933,Vascular Plant,Ericaceae,Kalmia polifolia,Pale Laurel,Approved,Present,Native,Occasional,,
ACAD-1942,Vascular Plant,Ericaceae,Rhododendron groenlandicum,Labrador Tea,Approved,Present,Native,Common,,
ACAD-1944,Vascular Plant,Ericaceae,Vaccinium angustifolium,Low Blueberry,Approved,Present,Native,Common,,
ACAD-1951,Vascular Plant,Ericaceae,Vaccinium pallidum,Hillside Blueberry,Approved,Present,Native,Rare,,
ACAD-1953,Vascular Plant,Ericaceae,Vaccinium vitis-idaea ssp. minus,Mountain Cranberry,Approved,Present,Native,Common,,
ACAD-1955,Vascular Plant,Primulaceae,Glaux maritima,Sea Milkwort,Approved,Present,Native,Uncommon,,
ACAD-1966,Vascular Plant,Fabaceae,Amphicarpaea bracteata,Hog Peanut,Approved,Present,Native,Uncommon,,
ACAD-1967,Vascular Plant,Fabaceae,Apios americana,"Groundnut, Wild Bean",Approved,Present,Native,Rare,,
ACAD-1971,Vascular Plant,Fabaceae,Lathyrus japonicus var. maritimus,Beach Pea,Approved,Present,Native,Occasional,,
ACAD-1972,Vascular Plant,Fabaceae,Lathyrus japonicus var. pellitus,Beach Pea,Approved,Present,Native,Uncommon,,
ACAD-1976,Vascular Plant,Fabaceae,Lupinus polyphyllus,Garden Lupine,Approved,Present,Not Native,Occasional,,
ACAD-1980,Vascular Plant,Fabaceae,Robinia hispida,Bristly Locust,Approved,Present,Native,Uncommon,,
ACAD-1981,Vascular Plant,Fabaceae,Robinia pseudo-acacia,Black Locust,Approved,Present,Not Native,Occasional,,
ACAD-1984,Vascular Plant,Fabaceae,Trifolium arvense,Rabbit-Foot Clover,Approved,Present,Not Native,Common,,
ACAD-1985,Vascular Plant,Fabaceae,Trifolium aureum,"Hop Clover, Yellow Clover",Approved,Present,Not Native,Occasional,,
ACAD-1989,Vascular Plant,Fabaceae,Trifolium pratense,Red Clover,Approved,Present,Not Native,Occasional,,
ACAD-1990,Vascular Plant,Fabaceae,Trifolium repens,White Clover,Approved,Present,Not Native,Occasional,,
ACAD-1994,Vascular Plant,Fabaceae,Vicia sativa ssp. nigra,Spring Vetch,Approved,Present,Not Native,Uncommon,,
ACAD-2001,Vascular Plant,Betulaceae,Alnus viridis ssp. crispa,"Green Alder, Mountain Alder",Approved,Present,Native,Common,,
ACAD-2004,Vascular Plant,Betulaceae,Betula papyrifera,White Birch,Approved,Present,Native,Common,,
ACAD-2011,Vascular Plant,Fagaceae,Quercus rubra,Northern Red Oak,Approved,Present,Native,Common,,
ACAD-2016,Vascular Plant,Apocynaceae,Apocynum cannabinum,Indian Hemp,Approved,Not Confirmed,Native,,,
ACAD-2017,Vascular Plant,Apocynaceae,Asclepias incarnata var. pulchra,Swamp Milkweed,Approved,Not Confirmed,Native,,,
ACAD-2022,Vascular Plant,Rubiaceae,Cephalanthus occidentalis,Buttonbush,Approved,Present,Native,Uncommon,,
ACAD-2025,Vascular Plant,Rubiaceae,Galium labradoricum,Bog Bedstraw,Approved,Not Present (Historical Report),Native,,,
ACAD-2030,Vascular Plant,Rubiaceae,Galium triflorum,Sweet-Scented Bedstraw,Approved,Not Present (Historical Report),Native,,,
ACAD-2033,Vascular Plant,Rubiaceae,Mitchella repens,Partridgeberry,Approved,Present,Native,Occasional,,
ACAD-2047,Vascular Plant,Lamiaceae,Glechoma hederacea,"Gill-Over-The-Ground, Ground Ivy",Approved,Not Confirmed,Not Native,,,
ACAD-2053,Vascular Plant,Lamiaceae,Mentha arvensis,Wild Mint,Approved,Present,Native,Occasional,,
ACAD-2061,Vascular Plant,Lamiaceae,Satureja hortensis,Summer Savory,Approved,Not Confirmed,Not Native,,,
ACAD-2067,Vascular Plant,Lamiaceae,Teucrium canadense var. occidentale,Germander,Approved,Not Confirmed,Native,,,
ACAD-2075,Vascular Plant,Lentibulariaceae,Utricularia purpurea,Purple Bladderwort,Approved,Present,Native,Occasional,,
ACAD-2079,Vascular Plant,Oleaceae,Forsythia,Forsythia,In Review,Present,Not Native,Unknown,,
ACAD-2084,Vascular Plant,Oleaceae,Ligustrum vulgare,Common Privet,Approved,Present,Not Native,Unknown,,
ACAD-2089,Vascular Plant,Orobanchaceae,Euphrasia randii,Rand's Eyebright,Approved,Not Confirmed,Native,,,
ACAD-2092,Vascular Plant,Orobanchaceae,Odontites vernus ssp. serotinus,Red Bartsia,Approved,Not Confirmed,Native,,,
ACAD-2105,Vascular Plant,Plantaginaceae,Linaria vulgaris,Butter-And-Eggs,Approved,Present,Not Native,Occasional,,
ACAD-2117,Vascular Plant,Plantaginaceae,Veronica officinalis,Common Speedwell,Approved,Present,Not Native,Common,,
ACAD-2141,Vascular Plant,Lycopodiaceae,Diphasiastrum complanatum,Crowfoot Clubmoss,Approved,Not Confirmed,Native,,,
ACAD-2147,Vascular Plant,Lycopodiaceae,Lycopodiella appressa,Bog Clubmoss,Approved,Not Present (False Report),Native,,,
ACAD-2151,Vascular Plant,Lycopodiaceae,Lycopodium dendroideum,Round-Branch Groundpine,Approved,Present,Native,Occasional,,
ACAD-2153,Vascular Plant,Lycopodiaceae,Lycopodium lucidulum var. occidentale,Shining Clubmoss,Approved,Not Confirmed,Native,,,
ACAD-2162,Vascular Plant,Hypericaceae,Hypericum ellipticum,Pale St. Johnswort,Approved,Present,Native,Occasional,,
ACAD-2169,Vascular Plant,Hypericaceae,Triadenum fraseri,Marsh St. Johnswort,Approved,Present,Native,Occasional,,
ACAD-2171,Vascular Plant,Linaceae,Linum catharticum,Fairy Flax,Approved,Present,Not Native,Uncommon,,
ACAD-2173,Vascular Plant,Linaceae,Radiola linoides,Thousand Seed,Approved,Present,Not Native,Uncommon,,
ACAD-2178,Vascular Plant,Salicaceae,Populus X gileadensis,Balm-Of-Gilead,Approved,Not Confirmed,Not Native,,,
ACAD-2180,Vascular Plant,Salicaceae,Salix bebbiana,Long-Beaked Willow,Approved,Present,Native,Common,,
ACAD-2182,Vascular Plant,Salicaceae,Salix eriocephala,Willow,Approved,Present,Native,Uncommon,,
ACAD-2199,Vascular Plant,Violaceae,Viola lanceolata,Lance-Leaved Violet,Approved,Present,Native,Occasional,,
ACAD-2203,Vascular Plant,Violaceae,Viola sagittata var. ovata,Ovate-Leaved Violet,Approved,Present,Native,Uncommon,,
ACAD-2207,Vascular Plant,Cistaceae,Hudsonia tomentosa,"False Heather, Beach Heath",Approved,Not Confirmed,Native,,,
ACAD-2209,Vascular Plant,Cistaceae,Lechea intermedia var. juniperina,Pinweed,Approved,Not Confirmed,Native,,,
ACAD-2217,Vascular Plant,Lythraceae,Decodon verticillatus,Swamp Loosestrife,Approved,Present,Native,Rare,,
ACAD-2219,Vascular Plant,Melastomataceae,Rhexia virginica,"Meadow Beauty, Deergrass",Approved,Present,Native,Uncommon,,
ACAD-2240,Vascular Plant,Nymphaeaceae,Nymphaea odorata ssp. tuberosa,Sweet-Scented Water Lily,Approved,Present,Native,Rare,,
ACAD-2242,Vascular Plant,Ophioglossaceae,Botrychium lanceolatum ssp. angustisegmentum,Triangle Grapefern,Approved,Not Confirmed,Native,,,
ACAD-2246,Vascular Plant,Ophioglossaceae,Botrychium simplex,Dwarf Grapefern,Approved,Not Present (Historical Report),Native,,,
ACAD-2258,Vascular Plant,Pinaceae,Larix laricina,"Larch, Tamarack",Approved,Present,Native,Occasional,,
ACAD-2273,Vascular Plant,Cyperaceae,Carex adusta,Lesser Brown Sedge,Approved,Not Present (Historical Report),Native,,,
ACAD-2274,Vascular Plant,Cyperaceae,Carex albicans,Emmons' Sedge,Approved,Present,Native,Uncommon,,
ACAD-2275,Vascular Plant,Cyperaceae,Carex arctata,Drooping Wood Sedge,Approved,Present,Native,Common,,
ACAD-2318,Vascular Plant,Cyperaceae,Carex magellanica ssp. irrigua,Bog Sedge,Approved,Present,Native,Occasional,,
ACAD-2325,Vascular Plant,Cyperaceae,Carex paleacea,Seaside Sedge,Approved,Present,Native,Occasional,,
ACAD-2332,Vascular Plant,Cyperaceae,Carex recta,Saltmarsh Sedge,Approved,Present,Native,Rare,,
ACAD-2333,Vascular Plant,Cyperaceae,Carex scabrata,Rough Sedge,Approved,Present,Native,Uncommon,,
ACAD-2342,Vascular Plant,Cyperaceae,Carex trisperma,Three-Seeded  Sedge,Approved,Present,Native,Common,,
ACAD-2344,Vascular Plant,Cyperaceae,Carex umbellata,Umbel-Like Sedge,Approved,Present,Native,Rare,,
ACAD-2353,Vascular Plant,Cyperaceae,Eleocharis acicularis,Needle Sedge,Approved,Present,Native,Common,,
ACAD-2358,Vascular Plant,Cyperaceae,Eleocharis palustris,Creeping Spike-Rush,Approved,Present,Native,Uncommon,,
ACAD-2359,Vascular Plant,Cyperaceae,Eleocharis parvula,Dwarf Spike-Rush,Approved,Not Confirmed,Native,,,
